Nb cores,Throughput (values/second)
1,0.855
1,0.905
1,0.878
1,0.867
1,0.879
1,0.865
1,0.857
1,0.845
1,0.881
1,0.871
2,1.47
2,1.52
2,1.55
2,1.54
2,1.56
2,1.55
2,1.54
2,1.53
2,1.54
2,1.56
4,3.15
4,3.15
4,3.16
4,3.09
4,3.15
4,3.11
4,3.12
4,3.14
4,3.12
4,3.07
8,5.82
8,5.63
8,5.79
8,5.62
8,5.68
8,5.73
8,5.78
8,5.68
8,5.71
8,5.79
16,8.35
16,8.54
16,8.44
16,7.74
16,7.92
16,7.02
16,8.03
16,8.18
16,7.17
16,7.41
32,14
32,14.9
32,15.3
32,15.1
32,14.6
32,14.7
32,15.4
32,14
32,14.6
32,14.6
64,30
64,28.2
64,29.6
64,29.2
64,30.4
64,30.2
64,29.8
64,29.8
64,29.8
64,29.5
