Nb cores,Throughput
5,4.14
5,4.22
5,4.17
5,4.13
5,4.2
5,4.16
5,4.25
5,4.14
5,4.05
5,4.19
10,8.12
10,8.33
10,8.33
10,8.28
10,8.39
10,8.4
10,8.12
10,7.97
10,7.98
10,8.02
20,11.4
20,11.4
20,11.4
20,12.2
20,12.7
20,11.4
20,10.4
20,11.6
20,11.6
20,12.1
40,24.4
40,24.9
40,27
40,26.6
40,27
40,24.4
40,24.8
40,26.4
40,25.3
40,24.4
100,69.4
100,69.7
100,67.5
100,69.8
100,69.6
100,69.7
100,69.6
100,69.8
100,69.7
100,69.7
200,105
200,106
200,103
200,104
200,103
200,104
200,103
200,103
200,103
200,105
500,271
500,304
500,239
500,263
500,278
500,305
500,306
500,369
500,297
500,259
1000,540
1000,570
1000,559
1000,518
1000,543
1000,546
1000,465
1000,558
1000,560
1000,555
